Time,Meg,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
2025-07-18 17:00:28.107,39.5463,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.127,36.6138,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.147,38.3525,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.167,38.1766,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.192,37.1777,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.210,38.4339,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.227,37.7798,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.246,38.135,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.266,38.4765,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.294,37.5552,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.310,36.069,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.325,36.4319,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.348,36.771,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.375,36.3336,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.389,37.2533,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.407,36.6905,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.424,35.7892,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.446,36.5232,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.472,35.8946,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.490,36.6162,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.507,36.2568,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.530,34.95,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.544,33.9577,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.566,35.8769,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.603,35.8965,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.605,35.102,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.625,35.2774,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.646,36.0437,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
2025-07-18 17:00:28.670,34.9941,338.0,-82.0,169.0,-114.0,282.0,,318.0,-108.0,320.0,-95.0
