Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3
18:38:00:548,473,-81.0,477,,480,
18:38:02:528,473,-83.0,477,,480,
18:38:04:528,473,-82.0,477,,480,
18:38:06:527,473,-81.0,477,,480,
18:38:08:546,473,-78.0,477,,480,
18:38:10:528,473,-81.0,477,,480,
18:38:12:529,473,-80.0,477,,480,
18:38:14:527,473,-80.0,477,,480,
18:38:16:528,473,-75.0,477,,480,
18:38:18:530,473,-74.0,477,,480,
18:38:20:527,473,-65.0,477,,480,
18:38:22:531,473,-72.0,477,,480,
18:38:24:528,473,-78.0,477,,480,
18:38:26:527,473,-76.0,477,,480,
18:38:28:530,473,-78.0,477,,480,-96.0
18:38:30:529,473,-76.0,477,,480,-94.0
18:38:32:530,473,-76.0,477,,480,-92.0
18:38:34:529,473,-75.0,477,,480,
18:38:36:529,473,-71.0,477,,480,
18:38:38:529,473,-70.0,477,,480,
18:38:40:530,473,-76.0,477,,480,
18:38:42:530,473,-77.0,477,,480,
18:38:44:532,473,-78.0,477,,480,-97.0
18:38:46:528,473,-77.0,477,,480,
18:38:48:530,473,-76.0,477,,480,
18:38:50:529,473,-76.0,477,,480,
18:38:52:531,473,-64.0,477,,480,
18:38:54:528,473,-66.0,477,,480,
18:38:56:528,473,-71.0,477,,480,
18:38:58:528,473,-74.0,477,,480,
18:39:00:527,473,-72.0,477,,480,
18:39:02:527,473,-81.0,477,,480,
18:39:04:529,473,-78.0,477,,480,
18:39:06:529,473,-85.0,477,,480,
18:39:08:530,473,-82.0,477,,480,
18:39:10:529,473,-86.0,477,,480,
18:39:12:529,473,-91.0,477,,480,
18:39:14:528,473,-90.0,477,,480,
18:39:16:530,473,-87.0,477,,480,
18:39:18:538,473,-90.0,477,,480,
18:39:20:592,473,-89.0,477,,480,
18:39:22:529,473,-91.0,477,,480,
18:39:24:529,473,-92.0,477,,480,
18:39:26:528,473,-92.0,477,,480,
18:39:28:531,473,-91.0,477,,480,
18:39:30:529,473,-85.0,477,,480,
18:39:32:529,473,-91.0,477,,480,
18:39:34:529,473,-87.0,477,,480,
18:39:36:529,473,-92.0,477,,480,
18:39:38:528,473,-97.0,477,,480,
18:39:40:530,473,-91.0,477,,480,
18:39:42:529,473,-92.0,477,-98.0,480,
18:39:44:529,473,-90.0,477,-101.0,480,
18:39:46:528,473,-94.0,477,-90.0,480,
18:39:48:528,473,-99.0,477,-97.0,480,
18:39:50:530,473,-100.0,477,-97.0,480,
18:39:52:530,473,-104.0,477,-90.0,480,
18:39:54:530,473,-102.0,477,-94.0,480,
18:39:56:529,473,-100.0,477,-89.0,480,
18:39:58:529,473,-97.0,477,-93.0,480,
18:40:00:529,473,-101.0,477,-96.0,480,
18:40:02:528,473,-97.0,477,-92.0,480,
18:40:04:527,473,-100.0,477,-94.0,480,
18:40:06:529,473,-97.0,477,-96.0,480,
18:40:08:529,473,-88.0,477,-95.0,480,
18:40:10:527,473,-96.0,477,-94.0,480,
18:40:12:528,473,-90.0,477,-95.0,480,
18:40:14:528,473,-96.0,477,-98.0,480,
18:40:16:527,473,-79.0,477,-93.0,480,
18:40:18:529,473,-88.0,477,-99.0,480,
18:40:20:555,473,-89.0,477,-103.0,480,
18:40:22:529,473,-80.0,477,-94.0,480,
18:40:24:527,473,-84.0,477,-96.0,480,
18:40:26:528,473,-77.0,477,-98.0,480,
18:40:28:529,473,-71.0,477,-87.0,480,
18:40:30:529,473,-77.0,477,-89.0,480,
18:40:32:529,473,-87.0,477,-97.0,480,
18:40:34:535,473,-92.0,477,-91.0,480,
18:40:36:533,473,-89.0,477,-93.0,480,
18:40:38:533,473,-87.0,477,-86.0,480,
18:40:40:532,473,-92.0,477,-86.0,480,
18:40:42:531,473,-90.0,477,-85.0,480,
18:40:44:529,473,-98.0,477,-81.0,480,
18:40:46:531,473,-100.0,477,-81.0,480,
18:40:48:529,473,-97.0,477,-86.0,480,
18:40:50:528,473,-95.0,477,-79.0,480,
18:40:52:528,473,-94.0,477,-81.0,480,
18:40:54:528,473,,477,-69.0,480,
18:40:56:529,473,,477,-69.0,480,
18:40:58:531,473,,477,-70.0,480,
18:41:00:530,473,,477,-75.0,480,
18:41:02:530,473,,477,-76.0,480,
18:41:04:527,473,,477,-74.0,480,
18:41:06:529,473,,477,-78.0,480,
18:41:08:529,473,,477,-69.0,480,
18:41:10:529,473,,477,-71.0,480,
18:41:12:529,473,,477,-75.0,480,
18:41:14:528,473,,477,-79.0,480,
18:41:16:528,473,,477,-83.0,480,
18:41:18:531,473,-96.0,477,-79.0,480,
18:41:20:532,473,-96.0,477,-74.0,480,
18:41:22:530,473,-96.0,477,-76.0,480,
18:41:24:527,473,-96.0,477,-71.0,480,
18:41:26:583,473,-96.0,477,-77.0,480,
18:41:28:529,473,-96.0,477,-80.0,480,
18:41:30:531,473,-94.0,477,-81.0,480,
18:41:32:529,473,-94.0,477,-82.0,480,
18:41:34:530,473,-87.0,477,-83.0,480,
18:41:36:529,473,-88.0,477,-77.0,480,
18:41:38:529,473,-84.0,477,-83.0,480,
18:41:40:530,473,-90.0,477,-79.0,480,
18:41:42:530,473,-89.0,477,-80.0,480,
18:41:44:528,473,-91.0,477,-79.0,480,
