Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Attack_Type,Matched_File_Name,Detected_Global_Node_Seq,Reachable_Global_Node_Path,Detected_Region_Candidates,Reach_Flag,S_seq,S_whole,S_topo,Topo_Decision
交叉_小米MAX3_移动卡/20230706_2059,317.417,"[""e4"", ""e3"", ""e4"", ""d6"", ""d2"", ""d4"", ""c1"", ""d4""]",276.293,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230706_2059_merged.csv,"[6, 7, 8, 11, 0]","[6, 7, 8, 9, 0, 11, 0]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4""]]",1,0.625,0.5,0.5625,reachable_scored
交叉_小米MAX3_移动卡/20230706_2104,256.607,"[""e4"", ""d1"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",265.887,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230706_2104_merged.csv,"[6, 8, 12, 11]","[6, 7, 8, 9, 0, 11, 12, 11]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4"", ""e4""], [""d4""]]",1,0.75,0.6,0.675,reachable_scored
交叉_小米MAX3_移动卡/20230706_2109,273.326,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""c3"", ""b1""]",273.326,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230706_2109_merged.csv,"[9, 6, 7, 8, 0]","[9, 8, 7, 6, 7, 8, 9, 0]","[[""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""]]",1,0.625,0.5,0.5625,reachable_scored
交叉_小米MAX3_移动卡/20230707_1534,264.741,"[""e4"", ""e3"", ""e4"", ""e6"", ""d3"", ""d4"", ""e4"", ""e1""]",264.741,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230707_1534_merged.csv,"[6, 7, 8, 5, 6, 19]","[6, 7, 8, 9, 0, 11, 4, 5, 4, 11, 0, 9, 8, 7, 6, 7, 8, 9, 0, 11, 12, 31, 18, 13, 26, 22, 21, 20, 19]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4"", ""e4""], [""d3"", ""d4""], [""b4""], [""b3"", ""b4""], [""c3""], [""c3"", ""d3""], [""c1""], [""d2""], [""d3""]]",1,0.172414,0.363636,0.268025,reachable_scored
交叉_小米MAX3_移动卡/20230707_1545,239.064,"[""c6"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",262.531,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230707_1545_merged.csv,"[6, 8, 9, 0]","[6, 7, 8, 9, 0]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""]]",1,0.5,0.6,0.55,reachable_scored
交叉_小米MAX3_移动卡/20230709_1303,283.912,"[""e4"", ""e3"", ""f2"", ""c3"", ""d3"", ""d4"", ""e4"", ""d4""]",288.92,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230709_1303_merged.csv,"[6, 5, 8, 11]","[6, 7, 8, 9, 0, 11, 4, 5, 4, 11, 0, 9, 8, 9, 0, 11]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""]]",1,0.3125,0.5,0.40625,reachable_scored
交叉_小米MAX3_移动卡/20230709_1315,279.288,"[""a5"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",279.288,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230709_1315_merged.csv,"[12, 6, 8, 6, 0]","[12, 11, 0, 9, 8, 7, 6, 7, 8, 7, 6, 7, 8, 9, 0]","[[""d4"", ""e4""], [""d4""], [""d4""], [""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""]]",1,0.333333,0.6,0.466667,reachable_scored
交叉_小米MAX3_移动卡/20230920_1925,312.816,"[""e4"", ""e3"", ""b6"", ""e3"", ""d3"", ""d4"", ""d5"", ""a3""]",312.816,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230920_1925_merged.csv,"[6, 7, 8, 9, 6, 11]","[6, 7, 8, 9, 8, 7, 6, 7, 8, 9, 0, 11]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""]]",1,0.333333,0.428571,0.380952,reachable_scored
交叉_小米MAX3_移动卡/20230920_1931,313.561,"[""c3"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",313.561,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230920_1931_merged.csv,"[6, 7, 8, 0, 11, 4]","[6, 7, 8, 9, 0, 11, 4]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4""]]",1,0.5,0.6,0.55,reachable_scored
交叉_小米MAX3_移动卡/20230920_1937,309.605,"[""e4"", ""a5"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",309.605,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230920_1937_merged.csv,"[7, 4, 11]","[7, 8, 9, 0, 11, 4, 11]","[[""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4""], [""d4""]]",1,0.5,0.6,0.55,reachable_scored
交叉_小米MAX3_移动卡/20230920_1943,338.969,"[""e1"", ""e1"", ""f4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",313.443,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230920_1943_merged.csv,"[7, 6, 7, 9, 6, 11]","[7, 6, 7, 8, 9, 8, 7, 6, 7, 8, 9, 0, 11]","[[""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""]]",1,0.307692,0.5,0.403846,reachable_scored
交叉_小米MAX3_移动卡/20230920_2002,386.139,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""a4""]",309.684,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230920_2002_merged.csv,"[7, 8, 5, 11]","[7, 8, 9, 0, 11, 4, 5, 4, 11]","[[""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4""], [""d4""]]",1,0.444444,0.6,0.522222,reachable_scored
交叉_小米MAX3_移动卡/20230920_2008,273.535,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""c5"", ""d4""]",310.022,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230920_2008_merged.csv,"[12, 7, 9, 11]","[12, 11, 0, 9, 8, 7, 8, 9, 0, 11]","[[""d4"", ""e4""], [""d4""], [""d4""], [""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""]]",1,0.6,0.6,0.6,reachable_scored
