File_Name,Mid_Time,Anchor_Info,Global_Anchor_ID,S_lte,S_meg,S_signal
20230706_2104_merged.csv,00:03:30,"(10310,10710)",11,0.778118,0.797951,0.834726
20230706_2104_merged.csv,00:04:03,"(11964,12364)",11,0.836863,0.782045,0.837679
20230706_2109_merged.csv,00:00:06,"(201,430)",9,0.717577,0.626641,0.70704
20230706_2109_merged.csv,00:00:44,"(1993,2393)",6,0.833714,0.846495,0.877813
20230706_2109_merged.csv,00:01:12,"(3449,3730)",7,0.910344,0.855334,0.896241
20230706_2109_merged.csv,00:01:58,"(5722,6122)",8,0.778934,0.826668,0.849644
20230706_2109_merged.csv,00:03:44,"(10985,11385)",0,0.76528,0.81606,0.849452
20230707_1534_merged.csv,00:00:44,"(1988,2388)",6,0.783459,0.844857,0.863951
20230707_1534_merged.csv,00:01:08,"(3202,3602)",7,0.761112,0.85957,0.870484
20230707_1534_merged.csv,00:01:51,"(5349,5749)",8,0.658288,0.822607,0.812384
20230707_1534_merged.csv,00:02:16,"(6581,6981)",5,0.746727,0.781494,0.818782
20230707_1534_merged.csv,00:02:43,"(7945,8345)",6,0.8099,0.75906,0.817191
20230707_1534_merged.csv,00:03:36,"(10580,10980)",19,0.572882,0.688749,0.655884
20230707_1545_merged.csv,00:00:43,"(1951,2351)",6,0.781783,0.848893,0.867896
20230707_1545_merged.csv,00:01:52,"(5428,5828)",8,0.790979,0.850636,0.870127
20230707_1545_merged.csv,00:02:43,"(7951,8351)",8,0.778934,0.755984,0.806534
20230707_1545_merged.csv,00:03:10,"(9330,9730)",9,0.765433,0.770133,0.815521
20230707_1545_merged.csv,00:03:33,"(10469,10869)",0,0.796046,0.81715,0.852659
20230709_1303_merged.csv,00:00:11,"(346,746)",6,0.841569,0.72399,0.798109
20230709_1303_merged.csv,00:00:42,"(1894,2294)",6,0.570504,0.835357,0.829689
20230709_1303_merged.csv,00:01:40,"(4800,5200)",5,0.752071,0.758185,0.806058
20230709_1303_merged.csv,00:02:07,"(6170,6570)",8,0.76206,0.849175,0.861158
20230709_1303_merged.csv,00:03:57,"(11658,12058)",11,0.83909,0.812371,0.860402
20230709_1315_merged.csv,00:00:13,"(460,860)",12,0.577732,0.707817,0.744196
20230709_1315_merged.csv,00:00:39,"(1770,2170)",6,0.854663,0.852104,0.885059
20230709_1315_merged.csv,00:01:04,"(2980,3380)",6,0.819627,0.82466,0.862881
20230709_1315_merged.csv,00:01:26,"(4095,4495)",8,0.770728,0.836389,0.860663
20230709_1315_merged.csv,00:01:54,"(5528,5928)",8,0.74727,0.844238,0.853181
20230709_1315_merged.csv,00:02:59,"(8743,9143)",6,0.574869,0.817243,0.822429
20230709_1315_merged.csv,00:03:44,"(11002,11402)",0,0.775784,0.799691,0.842458
20230920_1925_merged.csv,00:00:15,"(540,940)",6,0.552242,0.745127,0.772641
20230920_1925_merged.csv,00:00:46,"(2116,2516)",6,0.8099,0.857709,0.879482
20230920_1925_merged.csv,00:01:18,"(3699,4099)",7,0.899369,0.861315,0.898581
20230920_1925_merged.csv,00:01:50,"(5402,5610)",8,0.720666,0.840529,0.841334
20230920_1925_merged.csv,00:02:09,"(6273,6673)",9,0.578567,0.811966,0.815872
20230920_1925_merged.csv,00:03:18,"(9718,10118)",6,0.798676,0.755551,0.813962
20230920_1925_merged.csv,00:04:13,"(12479,12879)",11,0.790444,0.814315,0.848651
20230920_1931_merged.csv,00:00:50,"(2308,2708)",6,0.746699,0.855539,0.864193
20230920_1931_merged.csv,00:01:20,"(3797,4197)",7,0.910344,0.870318,0.905456
20230920_1931_merged.csv,00:02:09,"(6250,6650)",8,0.778934,0.846098,0.862329
20230920_1931_merged.csv,00:02:35,"(7545,7945)",8,0.778934,0.75045,0.802489
20230920_1931_merged.csv,00:03:22,"(9894,10294)",0,0.641524,0.760899,0.792804
20230920_1931_merged.csv,00:04:15,"(12550,12950)",11,0.835513,0.807157,0.858636
20230920_1931_merged.csv,00:04:54,"(14500,14900)",4,0.704738,0.775419,0.805514
20230920_1937_merged.csv,00:01:16,"(3587,3987)",7,0.839957,0.858374,0.884304
20230920_1937_merged.csv,00:02:08,"(6216,6616)",4,0.671671,0.787382,0.813718
20230920_1937_merged.csv,00:03:17,"(9642,10042)",11,0.828548,0.789474,0.842208
20230920_1937_merged.csv,00:04:07,"(12176,12576)",11,0.770899,0.820215,0.848736
20230920_1943_merged.csv,00:00:17,"(677,1010)",7,0.728024,0.721905,0.772764
20230920_1943_merged.csv,00:00:46,"(2118,2518)",6,0.860988,0.856623,0.88806
20230920_1943_merged.csv,00:01:20,"(3800,4200)",7,0.895003,0.868232,0.90193
20230920_1943_merged.csv,00:02:12,"(6423,6823)",9,0.815889,0.812922,0.855307
20230920_1943_merged.csv,00:03:14,"(9494,9894)",6,0.808322,0.802049,0.849031
20230920_1943_merged.csv,00:04:16,"(12599,12999)",11,0.845181,0.822206,0.863527
20230920_1943_merged.csv,00:04:49,"(14270,14670)",11,0.845181,0.735271,0.806503
20230920_2002_merged.csv,00:01:16,"(3605,4005)",7,0.822846,0.861525,0.885639
20230920_2002_merged.csv,00:02:06,"(6104,6504)",8,0.701422,0.848699,0.841131
20230920_2002_merged.csv,00:03:18,"(9796,10000)",5,0.779661,0.679881,0.755845
20230920_2002_merged.csv,00:04:12,"(12419,12819)",11,0.778118,0.815724,0.845856
20230920_2002_merged.csv,00:04:47,"(14140,14540)",11,0.783591,0.778032,0.825706
20230920_2008_merged.csv,00:00:15,"(530,930)",12,0.621067,0.747245,0.780784
20230920_2008_merged.csv,00:01:16,"(3604,4004)",7,0.890578,0.860899,0.897108
20230920_2008_merged.csv,00:02:05,"(6049,6449)",7,0.858565,0.82777,0.869147
20230920_2008_merged.csv,00:03:18,"(9692,10092)",9,0.780046,0.765982,0.814231
20230920_2008_merged.csv,00:04:10,"(12331,12731)",11,0.767295,0.822214,0.854681
