Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:38:58:076,-2.414,3.03,7.923,19.1995,-0.5941,-0.041,0.0063,0.0558
17:38:58:088,-2.414,2.87,8.225,19.1153,-0.6344,-0.0287,0.0613,0.0527
17:38:58:097,-2.351,2.8151,8.3201,19.2192,-0.6431,-0.0556,0.0895,0.051
17:38:58:111,-2.16,2.798,8.4401,19.1512,-0.6528,-0.0837,0.1163,0.0498
17:38:58:117,-2.0231,2.745,8.6561,19.1212,-0.6626,-0.0996,0.1358,0.0484
17:38:58:127,-1.9301,2.702,8.711,19.1565,-0.6589,-0.107,0.153,0.0471
17:38:58:136,-1.734,2.7,8.732,19.4894,-0.6528,-0.1106,0.1628,0.0459
17:38:58:147,-1.559,2.6591,8.807,19.5891,-0.6491,-0.085,0.1628,0.0446
17:38:58:156,-1.377,2.609,8.732,19.7868,-0.6431,-0.0312,0.1566,0.043
17:38:58:167,-1.2911,2.6471,8.529,19.9268,-0.6589,0.019,0.1383,0.0413
17:38:58:176,-1.25,2.709,8.4401,20.0836,-0.7249,0.0385,0.1213,0.0392
17:38:58:186,-1.283,2.724,8.4521,20.0379,-0.8495,0.036,0.1248,0.0369
17:38:58:196,-1.2761,2.6021,8.6321,20.1482,-1.034,-0.0055,0.1554,0.0342
17:38:58:206,-1.2191,2.412,8.9741,20.2615,-1.2453,-0.1033,0.1969,0.0313
17:38:58:217,-1.133,2.2331,9.4601,20.3645,-1.4396,-0.2131,0.2386,0.0284
17:38:58:226,-1.056,1.965,10.14,20.4359,-1.5642,-0.2926,0.2679,0.0254
17:38:58:236,-0.948,1.6391,10.6211,20.5893,-1.5984,-0.3598,0.2934,0.0227
17:38:58:247,-0.8171,1.383,11.031,20.5859,-1.5532,-0.3928,0.3179,0.0201
17:38:58:257,-0.687,1.134,11.309,20.7192,-1.4482,-0.3647,0.3509,0.0178
17:38:58:266,-0.5051,1.026,11.514,21.0873,-1.3076,-0.2853,0.4022,0.0155
17:38:58:276,-0.4931,0.978,11.7161,21.0539,-1.1428,-0.1594,0.4682,0.0132
17:38:58:286,-0.489,0.8561,11.864,21.3007,-0.9607,-0.003,0.5574,0.0107
17:38:58:296,-0.381,0.684,11.9621,21.3007,-0.7639,0.1521,0.6637,0.0082
17:38:58:306,-0.2591,0.492,12,21.5422,-0.5576,0.2926,0.7638,0.0056
17:38:58:317,-0.05,0.3341,11.957,21.5321,-0.3535,0.3964,0.8346,0.0031
17:38:58:327,0.234,0.2141,11.775,21.6524,-0.1567,0.4612,0.8555,0.0008
17:38:58:336,0.4391,0.147,11.574,21.6735,0.0203,0.4869,0.8163,-0.0011
17:38:58:349,0.648,0.1091,11.388,21.6114,0.1694,0.4929,0.7345,-0.0027
17:38:58:357,0.8321,0.183,11.225,21.8307,0.2892,0.4942,0.6295,-0.004
17:38:58:367,0.914,0.3461,11.0831,21.8685,0.3807,0.5052,0.5147,-0.0051
17:38:58:376,0.858,0.5711,11.016,21.8461,0.4516,0.5394,0.4034,-0.0061
17:38:58:386,0.6881,0.729,10.9091,21.7496,0.5103,0.5919,0.3216,-0.0072
17:38:58:396,0.5621,0.753,10.65,21.8409,0.5578,0.6517,0.2788,-0.0085
17:38:58:406,0.5501,0.7361,10.4681,21.9602,0.5786,0.7092,0.2739,-0.0099
17:38:58:417,0.641,0.89,10.653,22.0788,0.5885,0.818,0.2788,-0.0118
17:38:58:427,0.7121,1.148,10.973,22.2513,0.6226,0.9816,0.2617,-0.0142
17:38:58:436,0.53,1.397,11.115,22.3542,0.674,1.1184,0.2214,-0.0171
17:38:58:447,0.269,1.625,11.141,22.4041,0.7131,1.2137,0.1848,-0.0203
17:38:58:456,-0.0101,1.8191,11.088,22.4658,0.7216,1.2882,0.1811,-0.0238
17:38:58:467,-0.2471,1.941,10.961,22.7555,0.6911,1.331,0.2141,-0.0276
17:38:58:477,-0.45,1.977,10.746,22.9418,0.619,1.3249,0.2654,-0.0315
17:38:58:486,-0.6731,1.89,10.569,23.0594,0.5103,1.2614,0.3032,-0.0354
17:38:58:497,-0.6821,1.7831,10.485,23.2247,0.3844,1.1674,0.3119,-0.0392
17:38:58:507,-0.6251,1.73,10.466,23.2452,0.2634,1.0476,0.2824,-0.0429
17:38:58:517,-0.852,1.586,10.454,23.0733,0.0766,0.7312,0.1371,-0.0462
17:38:58:528,-0.9941,1.4591,10.494,23.1048,-0.0114,0.5614,0.0578,-0.0514
17:38:58:537,-1.1059,1.2371,10.545,23.2989,-0.0835,0.3879,-0.0095,-0.0535
17:38:58:550,-1.046,1.0211,10.638,23.3943,-0.1226,0.1973,-0.0705,-0.0545
17:38:58:557,-0.989,0.837,10.712,23.2583,-0.1189,0.014,-0.139,-0.055
17:38:58:567,-0.929,0.6551,10.839,23.3168,-0.0505,-0.1106,-0.1976,-0.0549
17:38:58:576,-0.7211,0.4781,10.581,23.2438,0.0741,-0.1693,-0.2465,-0.0541
17:38:58:587,-0.666,0.368,10.3961,23.2776,0.1974,-0.1716,-0.3101,-0.0531
17:38:58:596,-0.8621,0.384,9.834,23.5317,0.3185,-0.1618,-0.3613,-0.0519
17:38:58:606,-0.857,0.372,9.575,23.7312,0.393,-0.2156,-0.3784,-0.0502
17:38:58:616,-0.908,0.317,9.4631,23.7492,0.4272,-0.1973,-0.3541,-0.0485
17:38:58:626,-0.8621,0.3821,9.419,23.7427,0.4297,-0.1057,-0.2905,-0.0472
17:38:58:636,-0.819,0.447,9.4001,23.8503,0.4223,0.0128,-0.2075,-0.0462
17:38:58:649,-0.7691,0.4991,9.326,24.0296,0.4198,0.1253,-0.1182,-0.0457
17:38:58:656,-0.692,0.4751,9.1421,24.032,0.415,0.2095,-0.045,-0.0455
17:38:58:666,-0.644,0.435,8.9051,24.0205,0.4015,0.2426,0.0027,-0.0455
17:38:58:676,-0.5771,0.413,8.7229,23.847,0.3722,0.2315,0.0258,-0.0456
17:38:58:686,-0.441,0.396,8.601,23.8589,0.3257,0.1888,0.0235,-0.0455
17:38:58:696,-0.311,0.413,8.502,24.0528,0.2634,0.1265,-0.0071,-0.0454
17:38:58:707,-0.266,0.471,8.474,24.1485,0.1926,0.0507,-0.0645,-0.0452
17:38:58:716,-0.273,0.5711,8.526,24.1538,0.1254,-0.036,-0.1365,-0.0448
17:38:58:727,-0.311,0.6911,8.543,24.232,0.0716,-0.1313,-0.2123,-0.0443
17:38:58:736,-0.3641,0.806,8.4139,24.3605,0.0314,-0.2376,-0.2783,-0.0434
17:38:58:749,-0.402,0.935,8.2271,24.5529,-0.0054,-0.3561,-0.3321,-0.0422
17:38:58:756,-0.405,1.079,8.136,24.7955,-0.0469,-0.466,-0.3724,-0.0406
17:38:58:767,-0.3161,1.22,8.057,24.6789,-0.0896,-0.543,-0.3956,-0.0388
17:38:58:776,-0.249,1.337,7.98,24.4989,-0.1337,-0.5857,-0.4091,-0.037
17:38:58:786,-0.1871,1.383,7.899,24.4227,-0.1825,-0.6029,-0.4176,-0.0352
17:38:58:797,-0.105,1.416,7.9571,24.3138,-0.2362,-0.5943,-0.4273,-0.0335
17:38:58:806,-0.074,1.464,8.043,24.4133,-0.2863,-0.5492,-0.4408,-0.0322
17:38:58:816,-0.0671,1.493,8.117,24.5969,-0.329,-0.4942,-0.4543,-0.0312
17:38:58:826,-0.1391,1.5101,8.376,24.6759,-0.3682,-0.4477,-0.4664,-0.0305
17:38:58:836,-0.18,1.4861,8.7281,24.6261,-0.3913,-0.4111,-0.4738,-0.0301
17:38:58:847,-0.194,1.4711,8.969,24.9007,-0.4023,-0.3805,-0.4751,-0.0298
17:38:58:856,-0.2111,1.479,9.101,25.0981,-0.4146,-0.3622,-0.4751,-0.0296
17:38:58:866,-0.225,1.452,9.2711,25.2755,-0.4341,-0.3524,-0.4738,-0.0295
17:38:58:876,-0.132,1.476,9.4721,25.4871,-0.4598,-0.3329,-0.4823,-0.0295
17:38:58:886,0.006,1.5461,9.623,25.5353,-0.4916,-0.2951,-0.5031,-0.0298
17:38:58:896,0.059,1.529,9.776,25.5077,-0.5306,-0.2339,-0.5361,-0.0304
17:38:58:907,0.068,1.4591,9.9611,25.4222,-0.5796,-0.146,-0.5739,-0.0315
17:38:58:917,0,1.335,10.289,25.7992,-0.6284,-0.0397,-0.6057,-0.0332
17:38:58:928,-0.098,1.148,10.641,25.8584,-0.6676,0.069,-0.6289,-0.0355
17:38:58:936,-0.659,0.8681,11.373,25.8517,-0.6821,0.2511,-0.6424,-0.0382
17:38:58:949,-0.927,0.8111,11.5601,25.8616,-0.6553,0.2694,-0.6155,-0.0415
17:38:58:957,-1.116,0.758,11.72,25.9958,-0.6198,0.2426,-0.5752,-0.0472
17:38:58:967,-1.3391,0.662,11.907,26.0794,-0.5881,0.1986,-0.5264,-0.0498
17:38:58:977,-1.571,0.538,12.027,26.1288,-0.5648,0.1558,-0.4616,-0.0521
17:38:58:987,-1.731,0.387,12.039,26.4399,-0.5551,0.1155,-0.3724,-0.0542
17:38:58:996,-1.815,0.143,11.9741,26.1832,-0.5624,0.069,-0.2661,-0.0562
17:38:59:007,-1.841,-0.12,11.847,26.3372,-0.5868,0.0275,-0.1585,-0.058
17:38:59:016,-1.76,-0.2441,11.658,26.541,-0.6223,-0.0213,-0.0645,-0.0596
17:38:59:026,-1.7141,-0.2539,11.4881,26.6518,-0.6614,-0.0848,0.0026,-0.0611
17:38:59:035,-1.784,-0.1841,11.285,26.4941,-0.6969,-0.1631,0.0478,-0.0624
17:38:59:045,-1.88,0.068,10.913,26.5064,-0.7274,-0.2559,0.0894,-0.0634
17:38:59:056,-2.0501,0.444,10.253,26.4539,-0.7884,-0.3414,0.1286,-0.0642
17:38:59:066,-2.49,0.5831,9.645,26.4009,-0.9362,-0.4489,0.2018,-0.065
17:38:59:076,-2.291,0.4901,10.1501,26.4686,-1.095,-0.5015,0.335,-0.0659
17:38:59:086,-2.0351,0.183,10.241,26.5743,-1.1256,-0.4062,0.4352,-0.0672
17:38:59:096,-2.076,-0.228,10.0991,26.5507,-1.1122,-0.3439,0.484,-0.0688
17:38:59:105,-2.09,-0.8171,10.095,26.7625,-1.0731,-0.3268,0.5145,-0.0704
17:38:59:116,-2.1,-1.247,10.286,27.0006,-0.9937,-0.3414,0.5255,-0.0717
17:38:59:126,-1.884,-1.499,10.466,27.1134,-0.841,-0.4172,0.5109,-0.0723
17:38:59:136,-1.53,-1.58,10.4351,27.3392,-0.6369,-0.5699,0.4498,-0.0718
17:38:59:146,-1.1831,-1.662,10.016,27.5361,-0.395,-0.7886,0.346,-0.0699
17:38:59:156,-0.864,-1.9181,9.4961,27.9276,-0.1592,-1.0647,0.1664,-0.0661
17:38:59:166,-0.335,-2.052,9.173,27.7032,0.0754,-1.3249,-0.1268,-0.0607
