PCA1,PCA2,Cluster_Label
-0.7590748898427879,-0.5445514229783346,0
0.27142842853640514,1.3195446941776958,0
-0.6794705042770722,-0.6895319160790653,0
-0.7367606372337827,-0.6264161141432035,0
-0.639286293134324,-0.6997234442460476,0
-0.7597430872039693,-0.525467556800262,0
-0.7466682234113351,-0.5483296016146516,0
-0.7293334591956055,-0.6262513336950211,0
-0.7191967679661627,-0.6526716443992634,0
-1.5730077773801583,0.3083131718164252,1
-1.566314723800962,0.3443966536723349,1
-1.6040665944030017,0.38443487829942485,1
-1.6467093251124922,0.42414473841350864,1
-1.6446412299459652,0.2989032313473031,1
-1.6464760030627636,0.3992284446713254,1
-1.5576486699439298,0.31304381117994595,1
-1.6591936605846016,0.3752822245249815,1
-1.5721131515586528,0.31746316558816257,1
-1.5872562670415198,0.39631896206983835,1
-1.6469263120816993,0.4430371784479813,1
-1.6545253126983623,0.35142226755212785,1
-1.6419292716705476,0.43381106844352746,1
-1.651308257128996,0.36990506595864375,1
-1.542533528787391,0.4636453762789288,1
-1.5434084522766558,0.4521903218014651,1
0.8841969620946207,1.125249240130683,2
1.2325646233768779,1.389741740001364,2
1.0465953022000127,1.2857165999299671,2
-0.6630440431289774,-0.5040453883639544,2
-0.24323729497617996,-0.24706904758022052,2
-0.6883097605513254,-0.5789408500127933,2
0.28067892323164056,0.5735924181349648,2
-0.08726557757652542,1.2764437732514797,3
0.1150525890519342,1.3742932688501899,3
0.35982803355762877,1.479004787638102,3
0.19433586396131633,1.5741380900693145,3
0.17126244647216904,1.530915244802051,3
0.28509870085104305,0.5511025951088342,4
0.16144427071924386,0.44073522590294895,4
0.3745643223783943,0.618294799836245,4
0.32346300247882376,0.524159818970774,4
1.405811571380367,0.2373027354531571,5
1.3731043944511923,0.15074763527276627,5
1.239992786304585,0.0871162138392145,5
1.2626104049788354,0.11906262964955673,5
-0.1336356836148898,0.05920580143614337,6
-0.11077725888249282,0.11692387619388205,6
-0.0852023399054543,0.03729309865807748,6
-0.07286950828343135,0.07871613530178931,6
1.1518256939684153,-0.15098891909389078,7
1.2218694952275921,-0.03932155864282902,7
1.3478462878106474,0.11820537819634047,7
1.1297628264984318,-0.09090209912125025,7
1.3245623084733082,0.11564326279095948,7
1.3623512006315137,0.14389605442725625,7
1.3607191792094961,0.10318193723193371,7
0.48211384491628556,-1.1489687939262,8
0.46912046835013443,-1.1456017628413189,8
0.4984610349396099,-1.1498255509629332,8
0.4693667564774477,-1.1398559735106086,8
0.5133112668180683,-1.147089760220817,8
1.1611242311938814,1.3139483207506235,9
0.882823740942612,1.1120806476015888,9
0.9285852585893796,1.1284388147627724,9
1.1700888008462302,1.2974630035333299,9
1.0955367277744714,1.2385255772529558,9
0.9790859782948357,1.2499027668148182,9
0.37957496197918317,-1.3829541168636659,10
0.2902287743641553,-1.2587652853990767,10
0.39297837566092797,-1.3761286766086456,10
0.41556331010305964,-1.358720525458372,10
0.45539473896499605,-1.2779350668465295,10
0.4044830064882375,-1.3671128634978789,10
0.41164177223343285,-1.3465909409856163,10
0.4182358883519065,-1.3595531946615182,10
0.40514394251372743,-1.3749185572533074,10
0.3287343663508522,-1.3685416067287974,10
0.3702843740207012,-1.3746254923798873,10
0.3816754511238546,-1.3721202407139996,10
0.4074071775195248,-1.372607440407744,10
