File_Name,Mid_Time,Anchor_Info,Global_Anchor_ID,S_lte,S_meg,S_signal
20240523_1959_merged.csv,00:00:40,"(1815,2215)",6,0.811413,0.843161,0.872748
20240523_1959_merged.csv,00:01:09,"(3236,3636)",7,0.910425,0.827151,0.877538
20240523_1959_merged.csv,00:01:57,"(5666,6066)",5,0.813835,0.833171,0.862007
20240523_1959_merged.csv,00:03:46,"(11100,11500)",0,0.618367,0.812007,0.829223
20230920_2054_merged.csv,00:00:54,"(2516,2916)",4,0.696958,0.712197,0.7748
20230920_2054_merged.csv,00:02:05,"(6029,6429)",8,0.714057,0.838438,0.857251
20230920_2054_merged.csv,00:03:20,"(9820,10220)",33,0.875179,0.641728,0.746515
20230920_2054_merged.csv,00:04:02,"(11901,12301)",18,0.563777,0.764987,0.750831
20230709_1324_merged.csv,00:00:37,"(1666,2066)",35,0.756794,0.733718,0.789479
20230709_1324_merged.csv,00:01:08,"(3195,3595)",7,0.894756,0.864102,0.899744
20230709_1324_merged.csv,00:01:53,"(5448,5848)",8,0.769927,0.831758,0.855921
20230709_1324_merged.csv,00:03:41,"(10881,11281)",0,0.590473,0.809505,0.819313
20230920_2018_merged.csv,00:00:04,"(0,400)",33,0.778476,0.64421,0.732786
20230920_2018_merged.csv,00:00:47,"(2141,2541)",18,0.558462,0.769648,0.756609
20230920_2018_merged.csv,00:01:16,"(3582,3982)",7,0.899718,0.858965,0.89894
20230920_2018_merged.csv,00:01:40,"(4810,5210)",8,0.761012,0.840352,0.856621
20230920_2018_merged.csv,00:02:04,"(6021,6421)",9,0.751407,0.804946,0.835
20230920_2018_merged.csv,00:02:33,"(7466,7866)",12,0.6515,0.735193,0.782035
20230920_2018_merged.csv,00:03:20,"(9852,10160)",34,0.806725,0.712377,0.786912
20230920_2018_merged.csv,00:04:12,"(12421,12821)",35,0.759164,0.727422,0.787653
20230920_2018_merged.csv,00:04:51,"(14420,14740)",2,0.721235,0.747197,0.806123
20230923_2111_merged.csv,00:00:44,"(1977,2377)",18,0.561171,0.770753,0.750144
20230923_2111_merged.csv,00:01:41,"(4888,5240)",5,0.519069,0.746181,0.732096
20230923_2111_merged.csv,00:02:08,"(6182,6582)",34,0.771367,0.70687,0.777409
20230923_2111_merged.csv,00:03:09,"(9276,9676)",18,0.566624,0.695311,0.711783
20230923_2111_merged.csv,00:03:36,"(10609,11009)",18,0.552584,0.727642,0.723867
20230923_2111_merged.csv,00:03:59,"(11753,12153)",18,0.549899,0.763204,0.754422
20230709_1324_merged.csv,00:00:37,"(1666,2066)",35,0.756794,0.733718,0.789479
20230709_1324_merged.csv,00:01:08,"(3195,3595)",7,0.894756,0.864102,0.899744
20230709_1324_merged.csv,00:01:53,"(5448,5848)",8,0.769927,0.831758,0.855921
20230709_1324_merged.csv,00:03:41,"(10881,11281)",0,0.590473,0.809505,0.819313
20230923_2048_merged.csv,00:00:48,"(2205,2605)",2,0.662307,0.753947,0.805274
20230923_2048_merged.csv,00:01:16,"(3580,3980)",2,0.668458,0.746745,0.801801
20230923_2048_merged.csv,00:01:44,"(4982,5382)",11,0.792238,0.784207,0.831861
20230923_2048_merged.csv,00:02:06,"(6106,6506)",9,0.795331,0.800539,0.842173
20230923_2048_merged.csv,00:02:50,"(8289,8689)",6,0.811413,0.754965,0.818373
20230923_2048_merged.csv,00:03:13,"(9446,9846)",11,0.687766,0.76368,0.813568
20230923_2048_merged.csv,00:03:59,"(11766,12166)",18,0.546256,0.768594,0.760581
20230920_2018_merged.csv,00:00:04,"(0,400)",33,0.778476,0.64421,0.732786
20230920_2018_merged.csv,00:00:47,"(2141,2541)",18,0.558462,0.769648,0.756609
20230920_2018_merged.csv,00:01:16,"(3582,3982)",7,0.899718,0.858965,0.89894
20230920_2018_merged.csv,00:01:40,"(4810,5210)",8,0.761012,0.840352,0.856621
20230920_2018_merged.csv,00:02:04,"(6021,6421)",9,0.751407,0.804946,0.835
20230920_2018_merged.csv,00:02:33,"(7466,7866)",12,0.6515,0.735193,0.782035
20230920_2018_merged.csv,00:03:20,"(9852,10160)",34,0.806725,0.712377,0.786912
20230920_2018_merged.csv,00:04:12,"(12421,12821)",35,0.759164,0.727422,0.787653
20230920_2018_merged.csv,00:04:51,"(14420,14740)",2,0.721235,0.747197,0.806123
20240523_1954_merged.csv,00:00:39,"(1741,2141)",6,0.83179,0.837982,0.87205
20240523_1954_merged.csv,00:01:06,"(3105,3505)",7,0.875699,0.844924,0.884302
20240523_1954_merged.csv,00:01:52,"(5401,5801)",9,0.752599,0.801595,0.835301
