Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Attack_Type,Matched_File_Name,Detected_Global_Node_Seq,Reachable_Global_Node_Path,Detected_Region_Candidates,Reach_Flag,S_seq,S_whole,S_topo,Topo_Decision
局部_小米MAX3/20230529_2023,182.756,"[""d6"", ""e3"", ""d4"", ""d3"", ""a6"", ""d4"", ""e4""]",205.716,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230529_2023_merged.csv,"[8, 0, 1, 18, 4]","[8, 9, 0, 1, 0, 11, 12, 31, 18, 31, 12, 11, 4]","[['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4']]",1,0.384615,0.571429,0.478022,reachable_scored
局部_小米MAX3/20230529_2026,205.999,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",205.999,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230529_2026_merged.csv,"[8, 0, 18, 3, 4]","[8, 9, 0, 11, 12, 31, 18, 31, 12, 11, 4, 3, 4]","[['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['c4'], ['d4']]",1,0.384615,0.833333,0.608974,reachable_scored
局部_小米MAX3/20230529_2029,201.968,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",201.968,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230529_2029_merged.csv,"[0, 0, 11, 4, 5]","[0, 11, 4, 5]","[['d4'], ['d4'], ['d4'], ['d4']]",1,0.285714,0.2,0.242857,reachable_scored
局部_小米MAX3/20230529_2033,202.395,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",202.395,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230529_2033_merged.csv,"[2, 0, 8]","[2, 1, 0, 9, 8]","[['c4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3']]",1,0.428571,0.8,0.614286,reachable_scored
局部_小米MAX3/20230614_2040,207.598,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",207.598,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230614_2040_merged.csv,"[12, 0, 2, 3, 5]","[12, 11, 0, 1, 2, 3, 4, 5]","[['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4'], ['d4'], ['d4']]",1,0.5,0.6,0.55,reachable_scored
局部_小米MAX3/20230614_2044,200.905,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",200.905,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230614_2044_merged.csv,"[0, 2, 4]","[0, 1, 2, 3, 4]","[['d4'], ['d4'], ['c4'], ['c4'], ['d4']]",1,0.428571,0.4,0.414286,reachable_scored
局部_小米MAX3/20230614_2047,81.392,"[""e4"", ""d5"", ""d4"", ""a2"", ""c4"", ""e3"", ""e4""]",206.113,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230614_2047_merged.csv,"[22, 2]","[22, 26, 13, 18, 31, 12, 11, 0, 1, 2]","[['c3', 'd3'], ['c3'], ['b3', 'b4'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4']]",1,0.3,0.3,0.3,reachable_scored
局部_小米MAX3/20230614_2051,205.535,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",205.535,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230614_2051_merged.csv,"[12, 0, 2, 4, 5]","[12, 11, 0, 1, 2, 3, 4, 5]","[['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4'], ['d4'], ['d4']]",1,0.5,0.6,0.55,reachable_scored
局部_小米MAX3/20230616_2132,207.866,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",207.866,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230616_2132_merged.csv,"[7, 0, 13, 11, 5]","[7, 8, 9, 0, 11, 12, 31, 18, 13, 18, 31, 12, 11, 4, 5]","[['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['b3', 'b4'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4']]",1,0.4,0.571429,0.485714,reachable_scored
局部_小米MAX3/20230616_2136,206.139,"[""e4"", ""f3"", ""d4"", ""b3"", ""c4"", ""d4"", ""e4""]",206.139,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230616_2136_merged.csv,"[0, 8, 2, 4, 5]","[0, 9, 8, 9, 0, 1, 2, 3, 4, 5]","[['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['c4'], ['c4'], ['d4'], ['d4']]",1,0.4,0.5,0.45,reachable_scored
