Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
18:02:36:824,-1.832,6.525,7.8491,49.0778,0.8374,-0.2799,-0.5925,0.3173
18:02:36:844,-2.181,5.8691,7.619,48.7744,0.0821,-0.886,-0.5467,0.326
18:02:36:864,-2.2271,5.22,6.5951,49.406,-0.6582,-1.3687,-0.4722,0.332
18:02:36:884,-2.756,5.414,5.666,49.8145,-1.1067,-1.0554,-0.4498,0.3326
18:02:36:904,-4.0271,6.111,7.502,49.235,-1.1535,-0.2064,-0.5137,0.3278
18:02:36:924,-4.0841,6.7451,8.721,49.8932,-1.1034,-0.1873,-0.4679,0.3206
18:02:36:944,-3.0791,4.997,7.878,49.779,-0.949,-0.2023,-0.5158,0.3128
18:02:36:963,-0.9221,2.979,7.7321,49.1372,-0.7466,-0.2746,-0.7107,0.3048
18:02:36:990,-1.7051,3.5321,7.634,49.1275,-0.3162,-0.3289,-0.5532,0.2974
18:02:37:003,-1.76,3.1271,7.584,49.8795,-0.034,-0.4738,0.0136,0.2912
18:02:37:023,-1.1351,3.422,7.2581,49.2772,0.2057,-0.5111,0.3374,0.2866
18:02:37:043,0.0251,3.879,6.975,49.222,0.3953,-0.346,0.4451,0.283
18:02:37:063,1.1291,3.4391,7.799,49.1027,0.5082,0.0001,0.4227,0.2806
18:02:37:084,0.5021,3.5921,8.558,48.5389,0.5466,-0.2288,0.4056,0.2802
18:02:37:103,0.3221,4.286,8.184,49.4025,0.8236,-0.1596,0.8169,0.281
18:02:37:123,1.596,5.012,8.1131,49.3703,1.1026,-0.1031,1.3314,0.2827
18:02:37:143,3.7871,5.7851,7.8041,49.3024,1.1932,-0.3481,1.211,0.2855
18:02:37:162,4.424,6.407,8.1941,49.71,1.1389,-0.6623,0.6783,0.2892
18:02:37:183,3.279,7.4801,8.2541,50.2916,1.0431,-1.0256,0.3279,0.2932
18:02:37:203,2.5181,8.225,8.18,49.6771,0.8832,-1.2408,0.3769,0.2968
18:02:37:223,3.147,9.06,7.809,50.1483,0.4401,-1.1726,0.4216,0.2996
18:02:37:242,4.9721,7.995,7.698,50.4628,-0.231,-0.8306,0.1372,0.3005
18:02:37:262,4.8431,6.714,8.462,50.095,-0.9448,-0.378,-0.2282,0.2989
18:02:37:285,3.6431,5.438,9.2831,50.0893,-1.3549,-0.0798,-0.3304,0.2948
18:02:37:302,2.558,4.9091,10.1021,50.2057,-1.2814,0.1035,-0.1899,0.2884
18:02:37:322,2.781,4.7651,10.208,50.2451,-0.9266,-0.052,-0.0598,0.2805
18:02:37:342,3.4871,4.43,9.4751,49.6602,-0.6391,-0.3129,-0.2377,0.2724
18:02:37:361,3.171,4.2671,8.8481,49.1793,-0.4345,-0.5356,-0.5552,0.265
18:02:37:397,2.3051,4.3481,7.95,49.3571,-0.1841,-0.525,-0.6777,0.2584
18:02:37:405,1.7351,4.37,7.193,49.228,0.0843,-0.3109,-0.5947,0.2532
18:02:37:421,1.835,3.9221,6.492,49.0171,0.2665,-0.2992,-0.5606,0.25
18:02:37:441,1.917,3.659,5.3621,49.9949,0.3591,-0.5537,-0.6905,0.2488
18:02:37:461,1.325,4.0751,4.7891,48.9273,0.4124,-0.4792,-0.8865,0.2489
18:02:37:481,0.5591,4.43,4.464,49.085,0.4177,-0.3013,-0.8216,0.2501
18:02:37:502,0.3701,4.6331,4.758,48.5501,0.3985,-0.0551,-0.6234,0.2526
18:02:37:520,-0.06,5.076,4.902,48.8416,0.3612,-0.1094,-0.4796,0.2561
18:02:37:541,-1.1801,6.491,5.5361,48.5862,0.3112,-0.2629,-0.404,0.26
18:02:37:560,-1.2641,8.114,6.6071,47.9899,0.1013,-0.5292,-0.1728,0.2635
18:02:37:583,-0.1991,8.129,7.007,47.9344,-0.2971,-0.5228,0.2075,0.2659
18:02:37:600,0.717,8.045,8.594,47.8373,-0.6731,-0.0722,0.4781,0.2658
18:02:37:620,0.744,7.779,11.129,47.7859,-0.6721,0.4466,0.6666,0.2631
18:02:37:640,0.2501,7.971,12.987,47.3425,-0.3066,0.5947,0.8201,0.2589
18:02:37:660,1.5461,6.98,13.133,47.5022,0.2057,0.5232,0.8477,0.255
18:02:37:681,2.6021,5.502,12.489,47.1024,0.4615,0.3421,0.4707,0.2527
18:02:37:701,1.9811,4.257,11.642,46.4881,0.5136,0.1013,-0.1035,0.2525
18:02:37:720,0.2501,3.9251,10.6391,47.686,0.4817,0.0364,-0.3475,0.2542
18:02:37:740,-0.912,4.073,9.3,46.5776,0.3399,0.1493,-0.0972,0.2574
18:02:37:760,-0.278,4.1501,7.7771,46.917,0.014,0.3784,0.3513,0.2611
18:02:37:792,0.9281,4.016,6.6281,46.8976,-0.4547,0.7736,0.6273,0.264
18:02:37:799,1.062,4.305,6.564,46.7295,-0.8319,1.2477,0.8189,0.2653
18:02:37:821,0.878,4.53,7.299,46.828,-0.9533,1.3776,1.0938,0.2647
18:02:37:841,1.608,4.3511,7.607,46.8277,-0.7998,1.1912,1.3516,0.2619
18:02:37:860,2.8001,4.1501,7.538,46.7292,-0.4814,1.0112,1.4464,0.2582
18:02:37:880,3.858,3.8291,7.4711,45.7503,-0.082,0.9195,1.3366,0.254
18:02:37:900,4.1291,3.3401,7.7531,45.7791,0.4103,0.7938,0.9446,0.2505
18:02:37:921,3.377,3.293,7.763,46.1625,0.9642,0.4967,0.5153,0.2492
18:02:37:940,2.633,3.752,6.927,46.065,1.4147,0.1856,0.2597,0.2511
18:02:37:960,2.52,4.569,5.9531,45.185,1.5022,0.0896,0.1563,0.2565
18:02:37:984,2.853,5.16,5.319,45.0817,1.1688,0.1376,0.1415,0.2647
18:02:38:001,2.5661,5.8901,5.568,44.2582,0.7319,0.3997,0.1936,0.274
18:02:38:020,1.8881,6.7571,6.6641,44.9521,0.5008,0.6351,0.3747,0.2828
18:02:38:040,1.524,7.569,7.689,44.9497,0.4539,0.5328,0.5483,0.2905
18:02:38:061,2.1109,8.6681,8.706,43.3868,0.4604,-0.1094,0.5856,0.297
18:02:38:082,3.4421,9.225,8.8931,44.9158,0.3186,-0.7519,0.5153,0.302
18:02:38:099,4.986,8.624,9.147,44.3159,0.1184,-1.112,0.2905,0.3049
18:02:38:120,6.461,6.656,9.14,43.5678,0.0033,-1.112,-0.0811,0.305
18:02:38:140,6.53,5.052,9.197,44.3689,-0.0478,-0.8095,-0.5851,0.3032
18:02:38:159,5.171,4.382,9.1901,44.1166,-0.0297,-0.689,-0.9483,0.3008
18:02:38:191,3.947,4.554,8.448,43.5881,-0.0606,-0.7007,-0.9813,0.2993
18:02:38:200,3.191,5.385,7.514,44.2247,-0.2258,-0.5281,-0.7363,0.2984
18:02:38:221,3.104,5.885,6.71,43.3091,-0.5325,-0.3109,-0.4839,0.2972
18:02:38:239,3.159,5.675,6.2021,43.6524,-0.9214,-0.2331,-0.4179,0.2951
18:02:38:259,3.0131,5.2151,6.152,43.6301,-1.2122,-0.3396,-0.5094,0.2911
18:02:38:279,2.6951,4.763,6.449,43.0779,-1.3006,-0.5346,-0.6501,0.2848
18:02:38:300,2.396,3.9131,6.695,42.5734,-1.2026,-0.6656,-0.796,0.2765
18:02:38:320,1.677,3.218,6.896,43.3999,-0.8862,-0.7337,-1.0399,0.2669
18:02:38:340,0.7871,3.879,7.277,42.8705,-0.3109,-0.4642,-1.0601,0.2574
18:02:38:360,0.9281,3.644,7.265,43.2795,0.2131,-0.4334,-1.008,0.2501
18:02:38:388,0.0971,5.064,7.6841,43.7325,0.4092,-0.7913,-1.1613,0.2463
18:02:38:398,0.042,5.871,7.5641,43.2979,0.4155,-0.998,-1.1901,0.2456
18:02:38:419,0.0131,6.0911,7.476,42.901,0.3591,-0.6197,-1.0783,0.2462
18:02:38:440,-0.5531,6.728,7.7771,42.5585,0.2717,-0.021,-0.8066,0.2478
18:02:38:458,-0.6581,7.0901,8.3261,42.355,0.1844,0.4625,-0.4273,0.2504
18:02:38:479,-0.002,7.142,9.413,42.0405,0.1216,0.5094,-0.1132,0.2541
18:02:38:500,0.5351,7.3391,9.9011,41.9384,0.179,0.3411,0.0008,0.2582
18:02:38:518,0.636,7.7411,10.023,40.5864,0.407,0.3273,0.0946,0.2619
18:02:38:538,1.632,7.3001,9.429,40.6225,0.5019,0.1419,0.183,0.2656
18:02:38:558,2.5271,6.8891,8.793,41.4643,0.1983,-0.1724,0.0179,0.2695
18:02:38:591,1.914,6.563,8.498,41.9456,-0.1778,-0.0712,-0.3167,0.2725
18:02:38:599,0.638,5.73,8.874,41.9456,-0.2929,0.2271,-0.5435,0.2741
18:02:38:619,-0.3611,4.935,9.039,41.0655,-0.3322,0.1792,-0.5851,0.2748
18:02:38:639,-0.917,4.6331,8.682,40.9075,-0.4792,-0.0722,-0.4646,0.2753
18:02:38:661,-1.01,4.676,8.1341,40.8994,-0.6337,0.095,-0.1248,0.2749
18:02:38:680,-0.512,4.164,7.8041,40.1403,-0.6102,0.6425,0.2927,0.2731
18:02:38:699,-0.2711,3.8741,8.127,40.5896,-0.36,0.9504,0.5889,0.2706
18:02:38:719,-0.108,4.0061,8.201,39.5768,0.0534,0.7491,0.7455,0.2688
18:02:38:739,0.308,4.059,7.6361,39.4584,0.4635,0.3048,0.7572,0.2683
18:02:38:759,0.8801,4.095,6.899,39.4854,0.6776,-0.0275,0.6293,0.2691
18:02:38:781,1.091,3.977,6.413,39.737,0.716,-0.1435,0.492,0.2709
18:02:38:799,1.017,4.142,6.362,39.4511,0.7287,-0.1063,0.4514,0.2732
18:02:38:820,1.062,4.602,6.269,38.9067,0.7426,0.0098,0.4972,0.276
18:02:38:839,1.373,5.727,6.3431,39.4621,0.6383,0.0896,0.5474,0.2793
18:02:38:859,2.0051,6.4241,6.4511,39.4492,0.3942,0.1056,0.4653,0.2828
18:02:38:881,1.7351,7.176,6.9851,39.4341,0.2259,0.2144,0.3428,0.2859
18:02:38:899,1.239,7.533,7.5161,38.6277,0.3186,0.2932,0.3311,0.2883
18:02:38:920,0.9521,8.043,7.6001,38.6237,0.3484,0.1834,0.4377,0.2906
18:02:38:939,1.172,8.921,7.964,38.7056,0.1195,0.0066,0.5665,0.2932
18:02:38:959,2.3861,9.362,8.967,39.5041,-0.1959,-0.1244,0.5761,0.2952
18:02:38:993,4.7321,5.9171,10.038,38.7736,-0.3439,0.1345,-0.2346,0.2933
18:02:39:012,3.2051,4.8491,10.071,38.7474,-0.1661,0.373,-0.5829,0.2907
18:02:39:032,1.134,4.8701,9.6161,38.766,0.1013,0.5009,-0.485,0.2893
18:02:39:052,0.329,5.277,8.771,38.6798,0.3112,0.3869,-0.0918,0.29
18:02:39:072,1.0931,5.6441,7.394,37.8305,0.2483,0.0865,0.231,0.2923
18:02:39:092,2.027,5.8331,6.276,38.5355,-0.1042,-0.1469,0.3066,0.2948
18:02:39:112,2.226,5.8541,5.697,37.9727,-0.5741,-0.2214,0.2501,0.2959
18:02:39:132,1.788,5.5721,5.7521,38.5694,-0.9181,-0.0786,0.2097,0.2942
18:02:39:151,1.2701,5.385,6.192,38.1506,-0.9757,0.1302,0.1979,0.2898
18:02:39:171,1.476,4.686,6.509,37.9991,-0.818,0.1675,0.1298,0.2835
18:02:39:191,1.922,3.941,6.743,38.8661,-0.4942,0.1226,-0.1259,0.2768
18:02:39:211,1.658,3.7091,7.052,38.8239,-0.0478,0.1067,-0.4731,0.2708
18:02:39:231,0.705,4.1231,7.04,38.1653,0.4188,0.1334,-0.6874,0.2671
18:02:39:251,-0.266,4.7171,6.449,38.1594,0.7736,0.275,-0.6373,0.2666
18:02:39:271,-0.654,5.2031,6.1061,37.9507,0.8587,0.2591,-0.4114,0.2697
18:02:39:291,-0.678,6.192,6.303,38.5981,0.6179,-0.0499,-0.093,0.2755
18:02:39:310,-0.5051,7.715,6.762,38.4892,0.2591,-0.1361,0.2629,0.2819
18:02:39:331,0.248,8.5721,7.581,38.4774,-0.0265,0.2314,0.5708,0.2869
18:02:39:350,1.203,8.514,9.056,37.1709,-0.0659,0.8216,0.738,0.2898
18:02:39:370,1.373,8.684,10.713,37.8357,0.1386,0.8449,0.7124,0.2917
18:02:39:392,1.629,8.5841,11.5511,38.7789,0.4678,0.193,0.6006,0.2936
18:02:39:410,2.618,7.8611,10.725,38.7258,0.4965,-0.7646,0.3576,0.296
18:02:39:432,3.2,7.095,9.554,38.1018,0.0949,-1.1854,0.0179,0.2978
18:02:39:450,2.6471,6.321,8.824,37.5296,-0.3162,-0.6432,-0.2612,0.2977
18:02:39:469,1.364,5.237,8.8931,38.9007,-0.4558,0.2463,-0.338,0.2955
18:02:39:489,0.1001,4.332,8.96,37.9918,-0.5133,0.568,-0.2718,0.2928
18:02:39:520,-0.927,4.178,8.8001,37.9774,-0.5197,0.4764,-0.0503,0.2907
18:02:39:529,-1.056,4.071,8.172,37.3771,-0.3248,0.5265,0.3289,0.2887
18:02:39:549,-0.572,4.016,7.476,38.1102,0.0278,0.7523,0.7135,0.2867
18:02:39:571,0.2411,3.953,6.839,38.3055,0.3112,0.7767,0.934,0.2857
18:02:39:589,1.0211,3.855,6.3191,37.555,0.4422,0.5094,0.998,0.2862
18:02:39:610,1.313,4.2791,5.874,38.5081,0.4337,0.1312,0.9553,0.2879
18:02:39:630,1.553,4.9061,5.678,38.2211,0.4113,0.0183,0.9372,0.2897
18:02:39:650,2.0411,4.949,5.582,39.1875,0.4539,0.2335,0.8605,0.2911
18:02:39:669,1.91,5.1701,5.948,38.4865,0.5445,0.4657,0.7422,0.2924
18:02:39:690,1.67,5.909,6.3221,39.237,0.5977,0.388,0.6868,0.2947
18:02:39:710,2.297,6.714,6.41,38.5777,0.5243,0.1686,0.6698,0.2981
18:02:39:729,3.3341,7.226,6.765,38.5954,0.2633,-0.0051,0.5228,0.3017
18:02:39:751,3.7391,7.3121,7.308,40.0201,0.0417,0.1515,0.2885,0.3045
18:02:39:768,3.1121,7.521,8.115,38.8433,0.0481,0.5669,0.2501,0.3061
18:02:39:793,2.3839,8.2871,8.534,39.002,0.1365,0.7917,0.4471,0.3071
18:02:39:808,2.688,8.8091,8.3951,39.7647,0.1866,0.8694,0.6262,0.3085
18:02:39:828,3.8111,8.5601,8.7161,39.1679,0.0118,0.6234,0.527,0.3106
18:02:39:848,4.8191,7.236,9.0701,39.3309,-0.4111,-0.1159,0.1426,0.3126
18:02:39:867,4.718,5.754,9.2141,39.2825,-0.7807,-0.5665,-0.2868,0.3129
18:02:39:887,3.842,4.731,9.068,39.8744,-0.8595,-0.3706,-0.437,0.3103
18:02:39:907,2.927,4.439,8.5511,38.4416,-0.6784,0.2133,-0.3113,0.3053
18:02:39:927,2.5751,4.722,7.8131,40.2763,-0.524,0.6383,-0.0578,0.2998
18:02:39:948,3.231,4.686,7.3181,39.6654,-0.6241,0.5637,-0.0258,0.295
18:02:39:967,3.9041,4.131,6.959,40.06,-0.7743,0.3517,-0.2622,0.2909
18:02:39:987,3.339,3.9701,7.236,40.0192,-0.8606,0.1983,-0.568,0.2864
18:02:40:007,2.13,4.535,7.5,41.1507,-0.8276,0.1845,-0.6841,0.2813
18:02:40:026,1.859,4.775,7.464,41.162,-0.6071,0.4401,-0.5413,0.2757
18:02:40:047,2.3,4.415,7.289,40.6261,-0.2012,0.8673,-0.4615,0.2705
18:02:40:066,2.118,4.166,7.095,41.4865,0.2025,1.0581,-0.649,0.2673
18:02:40:086,1.0121,4.3939,7.43,41.7319,0.4177,0.6564,-0.9366,0.2673
18:02:40:105,-0.357,4.755,7.8131,40.7282,0.536,-0.0989,-1.0601,0.2702
18:02:40:125,-0.7181,5.225,7.466,41.8556,0.7501,-0.3993,-0.9217,0.2747
