Time,Meg,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
2026-01-08 17:18:03.317,50.1445,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.331,50.1758,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.350,50.1371,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.370,50.1644,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.392,50.2888,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.410,50.5348,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.430,50.9158,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.449,51.3977,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.470,51.7632,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.493,51.8505,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.510,51.809,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.529,51.6866,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.549,51.4812,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.570,51.6065,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.593,51.7888,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.609,51.9457,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.628,52.0777,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.649,52.0865,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.668,51.9783,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.690,51.8228,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
2026-01-08 17:18:03.714,51.7621,171.0,-121.0,291.0,-89.0,292.0,,282.0,-93.0,127.0,-124.0
