Cluster_Label,Connected_Classes,feature_csv
0,"[1, 6, 8]",Anchor_feature\anchor_feature_0.csv
1,"[0, 2]",Anchor_feature\anchor_feature_1.csv
2,"[1, 3, 9]",Anchor_feature\anchor_feature_2.csv
3,[2],Anchor_feature\anchor_feature_3.csv
4,[5],Anchor_feature\anchor_feature_4.csv
5,"[4, 6]",Anchor_feature\anchor_feature_5.csv
6,"[0, 5]",Anchor_feature\anchor_feature_6.csv
8,[0],Anchor_feature\anchor_feature_8.csv
9,[2],Anchor_feature\anchor_feature_9.csv
