Time,Meg,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
2025-11-20 17:44:17.219,57.8331,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.234,58.8859,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.256,60.4002,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.279,58.374,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.296,60.375,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.313,59.9525,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.334,59.1502,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.355,58.5937,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.379,58.2453,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.397,57.254,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.415,56.8209,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.433,57.7011,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.457,57.9858,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.480,59.8464,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.496,57.6495,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.513,56.7883,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.534,57.074,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.556,55.3886,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.575,57.0577,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.596,56.0284,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.613,55.6754,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.634,56.0553,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.656,55.4334,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.677,55.6565,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.696,54.9622,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.715,54.9573,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.733,54.7755,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.756,54.3687,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.780,55.6177,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.796,54.4913,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.815,54.0,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.832,53.4094,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.857,53.5982,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.876,53.0763,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.893,54.5126,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.913,53.2502,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.933,51.557,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.956,51.557,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:17.977,52.0822,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.000,54.0652,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.013,52.5572,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.032,51.8392,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.056,51.8743,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.075,52.3058,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.093,52.0921,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.117,49.8883,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.135,49.8883,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.155,49.1226,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.177,49.1226,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.199,48.8113,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.214,48.8113,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.234,50.2159,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.256,48.7695,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.277,50.3657,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.293,48.7352,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.315,49.5382,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.333,46.9827,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.354,48.1228,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.377,47.7874,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.399,48.8892,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.417,47.2323,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.434,47.0054,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.454,48.2001,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.476,48.2424,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.493,47.2996,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.515,46.1157,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.533,45.8189,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.553,45.5829,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.577,46.1306,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.595,46.6985,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.615,46.6639,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.632,46.6099,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.653,47.1768,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.676,46.3275,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.693,46.6348,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.712,46.7239,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.733,45.4787,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.753,46.6122,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.777,45.8402,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.796,45.0214,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.813,46.7364,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.832,46.3547,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.853,46.6505,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.876,47.3638,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.893,45.6874,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.912,47.2567,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.933,47.1877,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.953,48.3574,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.978,47.2035,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:18.995,46.6477,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:19.013,46.7217,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:19.034,47.2009,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
2025-11-20 17:44:19.056,49.1136,493.0,-92.0,473.0,-77.0,40.0,,44.0,,478.0,
