阈值L,伪造,重放,移植
0.55,1.0,0.9705882352941176,0.35135135135135137
0.6,1.0,0.7058823529411765,0.10810810810810811
0.65,1.0,0.6764705882352942,0.0
0.7,0.8695652173913043,0.2647058823529412,0.0
0.75,0.6086956521739131,0.0,0.0
0.8,0.043478260869565216,0.0,0.0
