Attack_Name,Attack_Type,Claim_Path,Sample_Key,S_topo,S_curr,S_signal,S_time,S_total,Signal_Anchor_Count,Missing_S_topo,Missing_S_curr,Missing_S_signal,Missing_S_time
replay_trace,重放,交叉_小米MAX3_电信卡/20230709_1334,20230709_1334,0.855556,0.5927555,0.8153908,0.9684699999999999,0.77997421,10,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20240523_1959,20240523_1959,0.902273,0.7080861666666666,0.860379,0.9111951666666668,0.8365303666666668,24,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230709_1334,20230709_1334,0.855556,0.5927555,0.8153908,0.9684699999999999,0.77997421,10,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230709_1324,20230709_1324,0.8999999999999999,0.7160556666666666,0.84111425,0.9598483333333334,0.8390243833333333,12,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230923_2123,20230923_2123,0.663636,0.8730685,0.782706625,0.9183975,0.7757560250000001,16,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230923_2111,20230923_2111,0.650649,0.674167,0.7416201666666667,0.882508,0.6990845333333333,12,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20240523_1954,20240523_1954,0.975,0.5117915,0.849509,0.9551625,0.8089554999999999,10,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230923_2048,20230923_2048,0.839216,0.6105222,0.8105187142857142,0.9270446,0.7736512628571428,35,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230920_2048,20230920_2048,0.7166669999999999,0.521102,0.7723494000000001,0.974034,0.6948706800000001,5,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230923_2048,20230923_2048,0.839216,0.6105222,0.8105187142857142,0.9270446,0.7736512628571428,35,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230920_2054,20230920_2054,0.706593,0.591423,0.7823492500000001,0.9627793333333333,0.7128118833333333,12,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230923_2043,20230923_2043,0.6453949999999999,0.505616,0.741445375,0.932871,0.6514189749999999,8,False,False,False,False
replay_trace,重放,交叉_小米MAX3_电信卡/20230923_2117,20230923_2117,0.6928570000000001,0.8465050000000001,0.7686037142857144,0.9332625,0.778141292857143,14,False,False,False,False
