Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:47:58:979,1.4223,2.8102,9.5314,35.4114,-0.3807,1.012,0.6826,5.9219
16:47:58:998,1.3576,2.8437,9.6619,35.049,-0.3753,1.0243,0.4941,4.9219
16:47:59:018,0.9949,2.8078,9.8116,36.4221,-0.3327,0.8855,0.3092,3.9531
16:47:59:043,0.7375,2.8868,9.802,36.1708,-0.2544,0.6405,0.1798,3.2031
16:47:59:061,0.4478,3.0676,9.6523,36.1736,-0.1855,0.33,0.0882,2.6875
16:47:59:078,-0.0262,3.0652,9.1412,37.9909,-0.1697,0.0298,0.0722,2.375
16:47:59:098,0.1174,2.9969,8.8587,36.8773,-0.1988,-0.2136,0.1164,2.2188
16:47:59:118,0.1797,2.8449,8.7306,36.6384,-0.2462,-0.3587,0.1726,2.1094
16:47:59:145,0.1342,2.7456,9.1783,36.7284,-0.4057,-0.2783,0.1849,2
16:47:59:161,0.151,2.7408,9.6308,36.0598,-0.3753,-0.18,0.1955,1.8438
16:47:59:179,0.2395,2.8078,9.8092,36.3887,-0.2677,-0.0708,0.216,1.6562
16:47:59:197,0.2312,2.6929,9.7385,37.6194,-0.1492,0.066,0.224,1.4688
16:47:59:218,0.2048,2.6031,9.6045,36.268,-0.059,0.2144,0.2267,1.25
16:47:59:245,0.2862,2.6163,9.4967,37.3742,-0.0219,0.3305,0.2206,1
16:47:59:262,0.2527,2.6797,9.3997,35.7529,-0.0307,0.351,0.1878,0.4531
16:47:59:278,0.224,2.6965,9.4141,37.0956,-0.0603,0.2698,0.1559,0.2969
16:47:59:297,0.2431,2.8186,9.3986,36.7841,-0.0864,0.1422,0.1298,0.0156
16:47:59:317,0.1055,2.8784,9.3088,36.8717,-0.1364,0.0059,0.1055,359.7656
16:47:59:342,-0.043,2.8485,9.4943,36.3325,-0.2214,-0.0557,0.1015,359.5938
16:47:59:362,-0.1364,2.8186,10.033,37.2858,-0.2787,-0.0264,0.121,359.4375
16:47:59:381,-0.0753,2.7839,10.6998,37.1333,-0.235,0.0221,0.1393,359.3125
16:47:59:397,0.0097,2.8198,10.9883,37.7433,-0.0904,0.0743,0.1409,359.1875
16:47:59:416,-0.0262,2.8114,10.9823,35.8931,0.0838,0.0759,0.1183,359.0156
16:47:59:438,-0.2681,2.7659,10.8806,35.7686,0.2372,0.0461,0.0935,358.8438
16:47:59:459,-0.2764,3.0125,10.871,36.6906,0.3677,-0.0064,0.0957,358.6875
16:47:59:478,-0.1244,3.3633,10.8159,36.8695,0.4604,-0.0378,0.0845,358.5781
16:47:59:500,-0.2238,3.246,10.5957,37.0647,0.4521,0.0434,0.093,358.4844
16:47:59:519,0.0253,2.8018,10.458,36.4145,0.418,0.1345,0.0765,358.4062
16:47:59:546,0.0049,2.3206,10.1731,37.5897,0.4353,0.1369,-0.0311,358.3906
16:47:59:562,-0.2501,2.1997,9.6871,37.7169,0.4915,-0.0511,-0.1363,358.3125
16:47:59:581,-0.3494,2.3768,9.1029,34.9941,0.5131,-0.2551,-0.1531,358.2344
16:47:59:596,-0.4512,2.3517,8.5438,37.2097,0.4609,-0.371,-0.1065,358.2656
16:47:59:678,-0.5254,2.0524,8.241,36.2021,0.3307,-0.396,-0.0218,358.4688
16:47:59:678,-0.632,1.655,8.3068,36.6918,0.1999,-0.3585,0.0642,358.7188
16:47:59:679,-0.6296,1.3665,8.3906,38.8392,0.1363,-0.2626,0.1532,358.9219
16:47:59:679,-0.4847,1.2181,8.3271,35.1614,0.1126,-0.1201,0.216,359.0312
16:47:59:706,-0.2333,1.3414,8.399,35.1614,0.0902,0.0541,0.2227,358.9844
16:47:59:717,-0.0837,1.6275,8.4086,37.9747,0.0636,0.172,0.1599,358.7969
16:47:59:737,-0.0143,1.8346,8.2338,36.8862,0.0207,0.1627,0.0664,358.5625
16:47:59:758,-0.0035,2.0369,7.9608,36.6556,-0.064,0.0418,-0.05,358.3125
16:47:59:778,-0.3267,2.0213,7.8746,38.001,-0.2166,-0.029,-0.1707,358.1562
16:47:59:803,-0.7577,2.1937,8.308,38.5133,-0.4185,-0.0232,-0.242,358.125
16:47:59:816,-0.9839,2.5804,9.2489,36.5718,-0.525,-0.0477,-0.249,358.25
16:47:59:840,-0.966,2.985,9.9935,36.8266,-0.4377,-0.0575,-0.1983,358.4844
16:47:59:863,-0.9779,3.2783,9.9875,35.4714,-0.2203,-0.0754,-0.1091,358.75
16:47:59:881,-0.9971,3.2986,9.3626,37.624,-0.0368,-0.0754,0.0219,358.9844
16:47:59:899,-0.8355,3.064,8.8048,36.9924,0.0223,-0.0631,0.1553,359.1562
16:47:59:916,-0.4955,2.8629,8.6564,37.3029,0.0058,0.0051,0.2339,359.2188
16:47:59:936,-0.0885,2.8353,8.8587,37.3495,0.0044,0.1111,0.2227,359.125
16:47:59:960,0.0959,2.9694,8.9149,37.0846,0.0513,0.2112,0.1308,358.8906
16:47:59:978,-0.0166,3.1717,8.909,38.4056,0.0654,0.2661,0.0104,358.6094
16:47:59:997,-0.2776,3.3692,9.0706,38.6773,0.0361,0.277,-0.0703,358.3906
16:48:00:016,-0.4787,3.4507,9.3974,35.7347,0.009,0.2626,-0.0974,358.2656
16:48:00:037,-0.6595,3.4327,9.7673,38.8178,0.0098,0.2245,-0.0932,358.2812
16:48:00:060,-0.7565,3.4566,10.1683,36.4707,0.0404,0.1987,-0.0577,358.3438
16:48:00:077,-0.6918,3.5033,10.5286,36.8283,0.0958,0.1523,0.0035,358.4062
16:48:00:098,-0.3483,3.5596,10.6208,37.3885,0.1685,0.0224,0.0472,358.4688
16:48:00:121,0.1713,3.6434,10.4592,38.5376,0.2303,-0.1353,0.0302,358.4688
16:48:00:146,0.6226,3.6577,10.2437,38.0575,0.2415,-0.2586,-0.0511,358.4219
16:48:00:162,1.2355,3.7858,10.3371,37.9731,0.242,-0.3499,-0.2056,358.4219
16:48:00:179,1.439,3.9786,10.0893,38.8542,0.2726,-0.4077,-0.4165,358.5312
16:48:00:197,0.2491,3.2543,9.4991,37.1081,0.1653,-0.2986,-0.5443,358.8281
16:48:00:221,-1.3622,1.813,9.5386,37.6741,-0.1032,-0.1699,-0.4207,359.3906
16:48:00:236,-1.6507,1.1079,10.4233,38.0539,-0.3311,-0.1244,-0.1406,359.3906
16:48:00:256,-0.6786,0.9679,11.5258,38.3104,-0.2904,-0.1143,0.0893,0.5625
16:48:00:278,0.4323,0.9583,11.424,37.856,0.0279,-0.0967,0.1013,0.7188
16:48:00:298,1.0153,1.26,10.1874,37.4567,0.3477,-0.093,-0.0857,0.625
16:48:00:316,0.8237,1.667,8.715,36.1136,0.4092,-0.0842,-0.3094,0.5156
16:48:00:337,0.2108,1.8334,7.7597,37.6287,0.2095,-0.1601,-0.389,0.6406
16:48:00:360,-0.0705,1.8561,7.6604,38.2259,-0.0994,-0.2677,-0.307,1.0469
16:48:00:379,0.0468,1.6861,8.2565,37.7916,-0.3247,-0.2714,-0.185,1.5312
16:48:00:397,0.1306,1.4886,8.7928,36.5831,-0.3847,-0.1449,-0.1163,1.8906
16:48:00:416,-0.0621,1.3713,9.0502,37.1102,-0.3418,0.0149,-0.0913,2.125
16:48:00:438,-0.1495,1.3557,9.1519,35.6772,-0.2539,0.1193,-0.0732,2.2656
16:48:00:461,0.0169,1.576,9.0801,35.5244,-0.1359,0.1345,-0.098,2.3438
16:48:00:486,0.1881,2.3697,8.3307,36.8817,-0.0153,0.0796,-0.1747,2.5
16:48:00:497,0.0049,2.5708,7.8746,37.2899,0.0529,-0.0232,-0.2617,2.6719
16:48:00:516,-0.2908,2.5361,7.7633,37.18,-0.0398,0.0447,-0.1834,2.7969
16:48:00:537,-0.2728,2.5492,8.2649,37.4885,-0.1556,0.2037,-0.0442,2.7969
16:48:00:559,-0.037,2.4822,9.0095,36.7494,-0.1825,0.3292,0.084,3.25
16:48:00:575,0.279,2.4714,9.5278,36.5564,-0.1005,0.3816,0.1428,3.4531
16:48:00:597,0.607,2.6007,9.7996,36.605,0.0489,0.3736,0.0981,3.4688
16:48:00:622,0.5843,2.8413,9.7218,37.0175,0.2148,0.3079,-0.0146,3.0938
16:48:00:635,0.3509,2.9335,9.2633,36.9362,0.2918,0.1808,-0.0894,3.0938
16:48:00:657,0.1749,2.9491,9.1555,36.2016,0.2564,0.0133,-0.1145,2.9219
16:48:00:678,0.3078,3.0197,9.3279,36.4151,0.2028,-0.1896,-0.1259,2.9062
16:48:00:707,0.5747,3.2017,9.5374,37.3717,0.1903,-0.3611,-0.181,3.0156
16:48:00:718,0.479,3.2088,9.4644,36.5454,0.197,-0.4163,-0.2657,3.1562
16:48:00:736,0.0851,3.0891,9.3052,36.2067,0.1488,-0.3944,-0.291,3.3438
16:48:00:756,-0.3111,2.9144,9.711,36.3602,0.0383,-0.2722,-0.2236,3.6094
16:48:00:777,-0.4021,2.6821,10.7525,37.0631,-0.0044,-0.0232,-0.1198,4
16:48:00:796,-0.1866,2.6558,11.7425,37.3824,0.1384,0.2573,-0.0527,4.375
16:48:00:819,0.4478,3.3585,11.7952,36.8526,0.4255,0.3949,-0.107,4.6875
16:48:00:835,-0.8187,3.1502,10.4293,36.4151,0.5275,0.4575,-0.1858,4.8281
16:48:00:856,-1.4017,2.7587,10.0199,37.0828,0.2662,0.4328,-0.021,4.8594
16:48:00:876,-0.6248,2.4283,10.6076,37.0376,0.12,0.0751,0.0895,4.9375
16:48:00:896,0.0875,2.2392,10.6543,37.9408,0.2233,-0.1063,0.0309,5.1094
16:48:00:919,-0.013,1.9926,9.4584,36.3673,0.364,-0.0748,-0.1155,5.0781
16:48:00:935,-0.6128,1.9459,8.4277,37.1465,0.2758,0.0495,-0.1818,4.9688
16:48:00:957,-1.112,1.8669,8.2398,36.3751,0.0431,0.118,-0.1163,4.9688
16:48:00:978,-1.1264,1.6825,8.5606,37.0648,-0.1516,0.086,0.0302,5.1562
16:48:00:999,-0.6044,1.6885,8.9185,36.7288,-0.2193,0.037,0.1154,5.4375
16:48:01:017,-0.0598,1.8801,8.9951,37.6554,-0.1311,0.0032,0.0605,5.4531
16:48:01:035,0.115,2.3948,8.5762,35.9796,0.0425,-0.0421,-0.0953,5.3281
16:48:01:059,-0.2261,2.8306,7.7932,37.3682,0.1533,-0.1063,-0.2053,5.2031
16:48:01:077,-0.7577,3.0592,6.9864,36.82,0.1067,-0.212,-0.1856,5.2188
16:48:01:096,-0.9492,3.1981,6.8559,36.2918,-0.0757,-0.2762,-0.0503,5.4219
16:48:01:117,-0.8319,2.955,7.2869,36.7809,-0.2526,-0.237,0.1047,5.7031
16:48:01:136,-0.4296,2.6701,7.9142,36.8891,-0.3487,-0.0943,0.1857,5.8906
16:48:01:159,-0.1675,2.6702,8.6109,34.9555,-0.346,0.0911,0.146,5.8906
16:48:01:176,-0.3626,2.572,8.9437,36.2746,-0.2797,0.1806,0.0549,5.7188
16:48:01:199,-0.608,2.4187,8.9736,36.7254,-0.2057,0.1025,-0.0143,5.5
16:48:01:221,-0.6344,2.3924,8.9377,37.6099,-0.1697,-0.0029,-0.0561,5.3438
16:48:01:235,-0.5039,2.5277,9.1591,36.669,-0.162,-0.0322,-0.1067,5.2812
16:48:01:257,-0.4356,2.6558,9.5602,35.9999,-0.1343,-0.0146,-0.185,5.2812
16:48:01:280,-0.5015,2.8018,9.9325,35.5739,-0.0757,-0.0205,-0.2607,5.375
16:48:01:299,-0.5841,2.9706,10.0941,36.9037,-0.0116,-0.0969,-0.3153,5.5312
16:48:01:319,-0.7948,3.0353,10.0486,36.2797,0.0015,-0.2216,-0.3313,5.7812
16:48:01:347,-0.8331,3.0221,10.282,35.3566,-0.056,-0.3334,-0.3057,6.0938
16:48:01:364,-0.5913,3.0041,10.9428,35.514,-0.0811,-0.379,-0.2716,6.5156
16:48:01:381,-0.1735,3.0903,11.7509,37.0567,0.0572,-0.3531,-0.2831,6.9219
16:48:01:396,0.3066,3.319,11.7832,37.2689,0.3536,-0.2764,-0.3387,7.2812
16:48:01:417,0.6681,4.0971,10.4807,35.7292,0.5866,-0.2429,-0.441,7.8438
16:48:01:436,-1.1766,3.313,8.6815,36.5876,0.3632,-0.069,-0.4253,8.2969
16:48:01:462,-2.0936,2.0764,9.1723,36.2037,-0.2155,0.0101,-0.0932,8.8438
16:48:01:477,-1.3933,1.4479,11.4564,35.2281,-0.5184,-0.081,0.1899,9.375
16:48:01:496,0.0444,1.3521,12.9863,36.6985,-0.2355,-0.0791,0.2706,9.4688
16:48:01:517,0.9386,1.4742,12.0537,34.5632,0.4047,-0.0735,0.0917,9.2344
16:48:01:536,0.613,1.8358,9.6811,36.0971,0.8063,0.0389,-0.1563,8.9219
16:48:01:560,-0.049,2.2488,7.834,37.0937,0.6796,0.1899,-0.2125,8.8594
16:48:01:578,-0.4416,2.5014,7.3443,37.4903,0.2819,0.0871,-0.0934,9.0781
16:48:01:596,-0.1256,2.402,7.8076,35.0992,-0.0773,-0.146,0.1143,9.3125
16:48:01:617,0.5137,2.2296,8.3511,36.634,-0.2369,-0.2527,0.2259,9.4219
16:48:01:638,0.8201,2.0105,8.5103,35.346,-0.2488,-0.1625,0.2224,9.3125
16:48:01:661,0.9027,1.8154,8.6216,35.5312,-0.2017,0.0152,0.1484,9.1094
16:48:01:678,0.8105,1.8082,8.6731,35.5312,-0.1183,0.1478,0.0435,8.8594
16:48:01:754,0.8489,2.0907,8.6192,36.7167,-0.0193,0.1909,-0.0788,8.6719
16:48:01:755,0.7471,2.4044,8.3619,36.4542,0.0617,0.1443,-0.1864,8.5938
16:48:01:755,0.6861,2.6797,8.0063,36.7608,0.0721,0.0575,-0.2567,8.6562
16:48:01:768,0.4143,2.7887,7.9177,36.0262,0.0042,-0.0139,-0.2937,8.8438
16:48:01:775,0.0672,2.8042,8.071,36.7348,-0.0957,-0.0708,-0.2378,8.9688
16:48:01:795,-0.0418,2.7731,8.5043,35.571,-0.1788,-0.1159,-0.1227,9.2812
16:48:01:816,0.0109,2.7946,9.1053,36.9419,-0.1884,-0.1236,-0.0237,9.6094
16:48:01:838,0.1881,2.8509,9.4297,38.0908,-0.1061,-0.0951,0.0445,9.8125
16:48:01:861,0.3736,2.9886,9.5267,37.2616,0.0207,-0.028,0.0693,9.9062
16:48:01:878,0.5268,3.2483,9.1412,36.6861,0.2417,0.0834,0.0363,9.875
16:48:01:897,0.5364,3.386,8.9173,37.4357,0.2777,0.1017,-0.0047,9.875
16:48:01:917,0.4825,3.5763,8.7976,38.0494,0.2489,0.1009,-0.0444,9.7344
16:48:01:936,0.2276,3.6649,8.7653,36.4086,0.1562,0.0775,-0.0476,9.6875
16:48:01:955,-0.0454,3.5512,8.9724,36.6708,0.0233,0.1073,0.0102,9.6875
16:48:01:976,-0.2441,3.3908,9.6128,36.5933,-0.109,0.2168,0.1047,9.75
16:48:01:996,-0.031,3.4842,10.7764,35.6806,-0.1463,0.3851,0.182,9.7969
16:48:02:016,0.1893,3.7164,11.7808,37.6226,0.0154,0.5276,0.17,9.75
16:48:02:039,0.4083,4.4466,11.7173,39.5294,0.2841,0.5244,0.072,9.5938
16:48:02:062,-0.9887,4.1964,10.3742,37.296,0.3416,0.4104,0.0126,9.3125
16:48:02:079,-1.8315,3.3561,9.7433,37.1377,0.0633,0.1483,0.2126,9.0312
16:48:02:097,-1.2533,2.5648,10.0426,36.1753,-0.1599,-0.3614,0.3995,8.875
16:48:02:116,-0.2333,2.2679,10.5358,37.5798,-0.1926,-0.5244,0.3998,8.8125
16:48:02:137,0.0396,2.0836,10.3143,37.1857,-0.0843,-0.4155,0.2083,8.5625
16:48:02:162,-0.8079,1.9028,9.7433,37.3737,-0.0326,-0.1867,0.032,8.1562
16:48:02:181,-1.6938,1.6945,9.5386,38.2477,-0.0938,-0.0309,0.0645,7.7812
16:48:02:198,-1.7393,1.5257,9.7816,36.8715,-0.1436,-0.0024,0.2131,7.625
16:48:02:216,-1.3766,1.3773,9.6667,38.5573,-0.0499,-0.0402,0.3327,7.6094
