w_topo,w_time,w_signal,w_curr,FAR
0.11685345953444794,0.27939475595920704,0.1696492719362419,0.43410251257010307,4.362194430298807
0.19571645637357316,0.1521245466544534,0.49267378266902734,0.1594852143029461,4.402623388437852
0.2532796829639936,0.024671614175837353,0.2976542438176924,0.4243944590424767,3.9866142989961357
0.27433877137794715,0.2342389202501009,0.02384499960822717,0.4675773087637248,4.42906116158518
0.3374677201693837,0.40827258289734436,0.19829374749752807,0.055965949435744,4.25325480366606
0.09536732710161533,0.7006551619055216,0.1487560024201341,0.055221508572729165,5.144870477624986
0.20458268768535418,0.43866978592857114,0.013989491669620267,0.3427580347164544,4.472568360935086
0.06562075803133682,0.3266956261560044,0.5558653239743417,0.05181829183831722,4.7422519491765955
0.5198048668331265,0.10702790958248187,0.35120016621689204,0.02196705736749953,4.556476976779967
0.3654985229923896,0.02997703003719226,0.5080996078780998,0.09642483909231835,4.286611932087067
0.00903988494798631,0.0968630082693042,0.2638244765752288,0.6302726302074806,4.408090302972445
0.8521080751822999,0.07641472539942275,0.03681335017864716,0.03466384923963012,4.977033297716
0.1782043407521281,0.6759962064584426,0.09651305257128787,0.04928640021814161,5.200793486228868
0.3446531122995905,0.23189898093215122,0.09687146161782378,0.32657644515043466,3.996895595097798
0.042603993939944254,0.19904500446133847,0.5151233108599772,0.2432276907387401,4.673996848975716
0.010970530086715547,0.22207492644986046,0.22239505548046798,0.5445594879829561,4.747109414013864
0.4354140682823921,0.011629008819631545,0.11264985895154758,0.4403070639464287,4.57561327626369
0.43168879281849587,0.00707485295942618,0.5565066968702194,0.004729657351858361,4.676530035517709
0.3639492439358967,0.14612601943889558,0.06262277185428072,0.4273019647709269,4.152825456870427
0.06958314651383787,0.1648823979315351,0.4565255207096958,0.30900893484493114,4.4479537643670914
0.2765159598682849,0.10215770446563657,0.5242249826733407,0.09710135299273771,4.258412622327783
0.037355305704666934,0.6198985557475235,0.30743682861558097,0.035309309932228514,5.069545993492119
0.03747779840404974,0.08240779558474433,0.2055118030821667,0.6746026029290393,4.597115579240089
0.18699266549619747,0.2505223231142219,0.42037801735929436,0.14210699403028634,3.981746155265446
0.25389514277046077,0.38140768160734606,0.05381054694552127,0.31088662867667183,4.378323635679687
0.18197024595214323,0.06170453812832379,0.6694029553084088,0.08692226061112421,4.901612269473644
0.6051891757408597,0.0693726717902656,0.2061228571590602,0.1193152953098145,4.0796003702839565
0.4138684698645253,0.1366310267348535,0.22809309753759108,0.22140740586303023,4.52896002978389
0.5907445838881727,0.13745979035044248,0.22650570230970707,0.04528992345167783,4.774581948917658
0.5887762008287731,0.20286538963167292,0.14684566695467502,0.061512742584878786,4.118326186872459
0.11824745778564816,0.47156858153290726,0.12566762325185551,0.28451633742958904,4.3384341444052845
0.42044450790408966,0.12512111279340507,0.18143919345640255,0.27299518584610255,4.276182220581953
