Time,Meg,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
2026-01-08 16:34:04.421,41.2298,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.441,40.8787,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.461,40.5664,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.481,40.3664,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.502,40.0191,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.520,39.8264,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.539,39.4499,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.560,39.0903,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.579,38.8123,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.600,38.5236,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.621,38.3098,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.640,37.9746,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.659,37.7451,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.679,37.4856,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.700,37.2789,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.719,37.1212,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.740,37.0668,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
2026-01-08 16:34:04.759,37.0289,493.0,-70.0,15.0,-125.0,473.0,-77.0,317.0,,309.0,
