File_Name,S_Time
荟聚003-0413/20250413_1934,0.990091
荟聚003-0413/20250413_1934,0.956385
荟聚003-0413/20250413_1934,0.966166
荟聚001-0413/20250413_1911,0.757884
荟聚001-0413/20250413_1911,0.754257
荟聚001-0413/20250413_1911,0.808848
荟聚001-0413/20250413_1915,0.810108
荟聚001-0413/20250413_1915,0.8188420000000001
荟聚001-0413/20250413_1917,0.8201350000000001
荟聚001-0413/20250413_1908,0.788212
荟聚001-0413/20250413_1913,0.7816620000000001
荟聚001-0413/20250413_1911,0.778804
荟聚001-0413/20250413_1910,0.788209
荟聚001-0413/20250413_1910,0.821564
荟聚001-0413/20250413_1915,0.8171170000000001
荟聚001-0413/20250413_1913,0.8123990000000001
荟聚001-0413/20250413_1911,0.799749
荟聚001-0413/20250413_1908,0.789118
荟聚001-0413/20250413_1915,0.784375
荟聚001-0413/20250413_1908,0.804277
荟聚001-0413/20250413_1913,0.78948
荟聚001-0413/20250413_1913,0.8021100000000001
荟聚001-0413/20250413_1913,0.8071699999999999
荟聚001-0413/20250413_1910,0.8066610000000001
荟聚001-0413/20250413_1908,0.819945
荟聚001-0413/20250413_1913,0.78807
荟聚001-0413/20250413_1915,0.767576
荟聚001-0413/20250413_1911,0.7856730000000001
荟聚001-0413/20250413_1915,0.7802530000000001
荟聚001-0413/20250413_1908,0.743627
荟聚001-0413/20250413_1917,0.7419370000000001
荟聚001-0413/20250413_1917,0.746306
荟聚001-0413/20250413_1911,0.739137
荟聚001-0413/20250413_1910,0.739614
荟聚001-0413/20250413_1911,0.743644
荟聚001-0413/20250413_1911,0.7432529999999999
荟聚001-0413/20250413_1908,0.7467239999999999
