Attack_Name,Claim_Path,Sample_Key,S_topo,S_curr,S_signal,S_without_time,Signal_Anchor_Count,Missing_S_topo,Missing_S_curr,Missing_S_signal
forged_trace,交叉_小米MAX3_移动卡/20230628_1436,20230628_1436,0.5,0.962611,0.8173443333333333,0.7247246296296297,3,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230628_1443,20230628_1443,0.368132,0.958143,0.8266081428571429,0.6666859206349207,7,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230704_2002,20230704_2002,0.492308,0.956951,0.8352568333333333,0.7233998518518518,6,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230704_2008,20230704_2008,0.6125,0.960922,0.8405554999999999,0.7793196666666667,6,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230704_2013,20230704_2013,0.5,0.971973,0.83535525,0.7318477222222223,4,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230704_2019,20230704_2019,0.6125,0.95253,0.8623775,0.7813716666666667,4,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230705_1314,20230705_1314,0.605769,0.973833,0.8112342,0.7741159333333333,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230705_1319,20230705_1319,0.6125,0.975441,0.8651218,0.7896185111111111,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230705_1329,20230705_1329,0.5,0.98848,0.8462053333333333,0.7397611851851851,6,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230706_2053,20230706_2053,0.396104,0.982606,0.8533507142857142,0.6932150476190475,7,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230706_2059,20230706_2059,0.5625,0.983415,0.8604748000000001,0.7690216222222223,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230706_2104,20230706_2104,0.675,0.952107,0.8304988,0.8019242888888889,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230706_2109,20230706_2109,0.5625,0.98302,0.836038,0.7634595555555554,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230707_1534,20230707_1534,0.268025,0.976304,0.8064460000000001,0.6237671111111112,6,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230707_1545,20230707_1545,0.55,0.957889,0.8425474,0.7509735333333333,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230709_1303,20230709_1303,0.40625,0.860857,0.8310831999999999,0.6521930444444444,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230709_1315,20230709_1315,0.466667,0.887613,0.8386952857142856,0.6896552857142857,7,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230920_1925,20230920_1925,0.380952,0.977742,0.8386461428571429,0.6815918095238096,7,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230920_1931,20230920_1931,0.55,0.983737,0.8416315714285715,0.7593860158730159,7,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230920_1937,20230920_1937,0.55,0.956577,0.8472415,0.7515793333333334,4,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230920_1943,20230920_1943,0.403846,0.853604,0.8481602857142858,0.6525018412698413,7,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230920_2002,20230920_2002,0.522222,0.862954,0.8308354,0.7043800888888888,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230920_2008,20230920_2008,0.6,0.990923,0.8431902000000001,0.7843499333333332,5,False,False,False
